Date,HomeTeam,AwayTeam,HomeGoals,AwayGoals
1974-08-17,Arsenal,Wolverhampton Wanderers,0,1
1974-08-17,West Ham United,Birmingham City,1,0
1974-08-17,Burnley,Tottenham Hotspur,1,0
1974-08-17,Stoke City,Carlisle United,1,1
1974-08-17,Chelsea,Sheffield United,1,1
1974-08-17,Queens Park Rangers,Coventry City,0,2
1974-08-17,Derby County,Newcastle United,1,3
1974-08-17,Middlesbrough,Everton,1,1
1974-08-17,Ipswich Town,Manchester City,2,1
1974-08-17,Luton Town,Leeds United,1,1
1974-08-17,Leicester City,Liverpool,1,1
1974-08-24,West Ham United,Arsenal,2,1
1974-08-24,Wolverhampton Wanderers,Tottenham Hotspur,2,1
1974-08-24,Stoke City,Birmingham City,0,0
1974-08-24,Burnley,Sheffield United,1,0
1974-08-24,Queens Park Rangers,Carlisle United,1,1
1974-08-24,Chelsea,Newcastle United,0,2
1974-08-24,Middlesbrough,Coventry City,1,2
1974-08-24,Derby County,Manchester City,1,2
1974-08-24,Luton Town,Everton,1,2
1974-08-24,Ipswich Town,Liverpool,2,0
1974-08-24,Leicester City,Leeds United,1,0
1974-08-31,Arsenal,Tottenham Hotspur,1,1
1974-08-31,Stoke City,West Ham United,1,1
1974-08-31,Wolverhampton Wanderers,Sheffield United,2,1
1974-08-31,Queens Park Rangers,Birmingham City,0,1
1974-08-31,Burnley,Newcastle United,1,0
1974-08-31,Middlesbrough,Carlisle United,1,2
1974-08-31,Chelsea,Manchester City,1,3
1974-08-31,Luton Town,Coventry City,0,1
1974-08-31,Derby County,Liverpool,0,2
1974-08-31,Leicester City,Everton,0,3
1974-08-31,Ipswich Town,Leeds United,3,0
1974-09-07,Stoke City,Arsenal,2,0
1974-09-07,Tottenham Hotspur,Sheffield United,1,1
1974-09-07,Queens Park Rangers,West Ham United,1,3
1974-09-07,Wolverhampton Wanderers,Newcastle United,1,3
1974-09-07,Middlesbrough,Birmingham City,1,0
1974-09-07,Burnley,Manchester City,0,2
1974-09-07,Luton Town,Carlisle United,3,4
1974-09-07,Chelsea,Liverpool,3,3
1974-09-07,Leicester City,Coventry City,1,0
1974-09-07,Derby County,Leeds United,2,0
1974-09-07,Ipswich Town,Everton,2,1
1974-09-14,Arsenal,Sheffield United,0,1
1974-09-14,Queens Park Rangers,Stoke City,0,2
1974-09-14,Tottenham Hotspur,Newcastle United,0,1
1974-09-14,Middlesbrough,West Ham United,2,1
1974-09-14,Wolverhampton Wanderers,Manchester City,0,1
1974-09-14,Luton Town,Birmingham City,2,2
1974-09-14,Burnley,Liverpool,1,2
1974-09-14,Leicester City,Carlisle United,1,1
1974-09-14,Chelsea,Leeds United,2,1
1974-09-14,Ipswich Town,Coventry City,1,0
1974-09-14,Derby County,Everton,0,1
1974-09-21,Queens Park Rangers,Arsenal,1,1
1974-09-21,Sheffield United,Newcastle United,0,0
1974-09-21,Middlesbrough,Stoke City,1,1
1974-09-21,Tottenham Hotspur,Manchester City,1,2
1974-09-21,Luton Town,West Ham United,2,0
1974-09-21,Wolverhampton Wanderers,Liverpool,1,1
1974-09-21,Leicester City,Birmingham City,0,0
1974-09-21,Burnley,Leeds United,1,2
1974-09-21,Ipswich Town,Carlisle United,3,1
1974-09-21,Chelsea,Everton,1,1
1974-09-21,Derby County,Coventry City,2,1
1974-09-28,Arsenal,Newcastle United,0,1
1974-09-28,Middlesbrough,Queens Park Rangers,1,0
1974-09-28,Sheffield United,Manchester City,1,2
1974-09-28,Luton Town,Stoke City,4,1
1974-09-28,Tottenham Hotspur,Liverpool,0,2
1974-09-28,Leicester City,West Ham United,1,1
1974-09-28,Wolverhampton Wanderers,Leeds United,1,0
1974-09-28,Ipswich Town,Birmingham City,1,1
1974-09-28,Burnley,Everton,1,0
1974-09-28,Derby County,Carlisle United,2,1
1974-09-28,Chelsea,Coventry City,1,1
1974-10-05,Middlesbrough,Arsenal,0,1
1974-10-05,Newcastle United,Manchester City,1,1
1974-10-05,Luton Town,Queens Park Rangers,1,2
1974-10-05,Sheffield United,Liverpool,0,0
1974-10-05,Leicester City,Stoke City,1,0
1974-10-05,Tottenham Hotspur,Leeds United,2,1
1974-10-05,Ipswich Town,West Ham United,2,1
1974-10-05,Wolverhampton Wanderers,Everton,1,3
1974-10-05,Derby County,Birmingham City,0,0
1974-10-05,Burnley,Coventry City,1,0
1974-10-05,Chelsea,Carlisle United,2,2
1974-10-12,Arsenal,Manchester City,0,2
1974-10-12,Luton Town,Middlesbrough,1,2
1974-10-12,Newcastle United,Liverpool,1,2
1974-10-12,Leicester City,Queens Park Rangers,1,0
1974-10-12,Sheffield United,Leeds United,1,1
1974-10-12,Ipswich Town,Stoke City,0,1
1974-10-12,Tottenham Hotspur,Everton,0,1
1974-10-12,Derby County,West Ham United,1,1
1974-10-12,Wolverhampton Wanderers,Coventry City,3,1
1974-10-12,Chelsea,Birmingham City,2,0
1974-10-12,Burnley,Carlisle United,2,1
1974-10-19,Luton Town,Arsenal,1,0
1974-10-19,Manchester City,Liverpool,0,1
1974-10-19,Leicester City,Middlesbrough,0,1
1974-10-19,Newcastle United,Leeds United,2,0
1974-10-19,Ipswich Town,Queens Park Rangers,2,0
1974-10-19,Sheffield United,Everton,0,2
1974-10-19,Derby County,Stoke City,0,0
1974-10-19,Tottenham Hotspur,Coventry City,0,1
1974-10-19,Chelsea,West Ham United,0,3
1974-10-19,Wolverhampton Wanderers,Carlisle United,1,1
1974-10-19,Burnley,Birmingham City,1,1
